Jurisdicción,CUE Anexo,Nombre,Sector,Ámbito,Domicilio,CP,Código de área,Teléfono,Fecha alta,Cant. Alumnos,Asignación parcial ($),Asignación final ($),Promedio nota alumnos
Buenos Aires,60424600,JARDÍN DE INFANTES VIRGEN DE BEGOÑA,Privado,Urbano,SAENZ PEÑA/URQUIZA Y PASTEUR (P.A.) 754,7000,2293,44-6065,22/01/1957,4967,"$  99.340,00","$  99.340,00",9
Mendoza,500152900,GARABATOS,Social/cooperativa,Rural,EL PORVENIR RUTA 40-KM. 3339(EX.KM.42),M5543,1,4-905044,02/02/1986,1502,"$  30.040,00","$  33.044,00",3
Córdoba,140082001,C.E.N.M.A. ALTA GRACIA ANEXO SEDE ANIZACATE,Estatal,Urbano,SALOMON PALACIOS 180  RUTA A JOSE DE LA QUINTANA,X5197AB,3547,494932,28/03/1984,4991,"$  99.820,00","$  99.820,00",4
Tucumán,900078900,ESC. N° 301 CAPITAL FEDERAL,Estatal,Urbano,DOMINGO MATHEU 284 VILLA ALEM,T4000,,4299596,30/07/1967,4220,"$  84.400,00","$  84.400,00",10
Buenos Aires,60388700,ESCUELA DE EDUCACIÓN PRIMARIA Nº23 FRAGATA ESCUELA LIBERTAD,Estatal,Urbano,BOLAÑOS Y DONOVAN 820,1824,11,4241-7258,26/12/1978,3566,"$  71.320,00","$  71.320,00",3
Santiago del Estero,860206000,COLEGIO SECUNDARIO CAMPO CONTRERAS,Estatal,Urbano,AV. RICARDO YUNES S/N  SIGLO XXI MANZANA 36,G4200,,,09/09/1960,2342,"$  46.840,00","$  46.840,00",8
Río Negro,620090400,CENTRO DE EDUCACIÓN TÉCNICA NRO.19 PROFESORA ALICIA MARÍA MAZZOLA,Estatal,Urbano,PABLO TORELLO 745  EX CEM 133,R8520,2934,421059,03/03/1982,1645,"$  32.900,00","$  32.900,00",3
Misiones,540057800,E.F.A. ESPIRITU SANTO,Privado,Urbano,MARIANO MORENO  289  J.D.PERON Y MARIANO MORENO,N3338,3755,495108,08/06/1955,2342,"$  46.840,00","$  46.840,00",8
Mendoza,500090100,RAMON CESAR NOVERO,Estatal,Urbano,CALLE 9   CALLE 2 Y 9 COLONIA CANO 4 KM. OESTE - RUTA 40 UGARTECHE,M5509,261,156639387,24/03/1959,2316,"$  46.320,00","$  46.320,00",10
San Juan,700029400,MERCEDES NIEVAS DE CASTRO,Estatal,Rural,MATÍAS SÁNCHEZ S/N   ZONDA ARRIBA,J5401,264,4307719,15/12/1974,1766,"$  35.320,00","$  38.852,00",7
Buenos Aires,60511400,ESCUELA DE EDUCACIÓN PRIMARIA Nº6 HIPOLITO YRIGOYEN,Estatal,Rural,BERMEJO S/N,8101,2932,15-41-9024,07/06/1953,3288,"$  65.760,00","$  72.336,00",5
Buenos Aires,60265300,ESCUELA DE EDUCACIÓN PRIMARIA Nº6 JUAN BAUTISTA ALBERDI,Estatal,Urbano,PELLEGRINI 21,6640,2342,43-1894,15/12/1950,4406,"$  88.120,00","$  88.120,00",5
Buenos Aires,60435100,INSTITUTO JUAN RAMON GIMENEZ,Privado,Urbano,PRESIDENTE QUINTANA 330,1824,11,4241-2041,15/12/1971,2383,"$  47.660,00","$  47.660,00",6
San Juan,700050200,BARRIO PARQUE RIVADAVIA NORTE,Estatal,Rural,LARRALDE  PARQUE RIVADAVIA NORTE,J5400,264,4232878/4307810,26/03/1995,3390,"$  67.800,00","$  74.580,00",7
La Rioja,460090200,JARDIN MATERNAL DE EDUCACION INICIAL PRIMER CICLO N°4,Estatal,Urbano,Tilcara y Santo Domingo  Infanteria,5300,3804,948653,26/11/1979,3263,"$  65.260,00","$  65.260,00",7
Buenos Aires,60420400,JARDÍN DE INFANTES Nº909 JOSÉ DE SAN MARTIN,Estatal,Urbano,JOSE RUCCI E/ TUYUTI Y R. DE ESCALADA 958,1822,11,4228-5077,19/02/1987,1586,"$  31.720,00","$  31.720,00",4
San Juan,700094203,JINZ N°2 CALINGASTA SATURNINO ARAOZ,Estatal,Urbano,HIPÓLITO IRIGOYEN S/N,J5405,264,4307728,03/08/1953,3729,"$  74.580,00","$  74.580,00",6
Santa Fe,820457400,JARDIN DE INFANTES NRO 334,Estatal,Urbano,DERQUI 7581 FONAVI,S2000,341,4727617,11/03/1962,2119,"$  42.380,00","$  42.380,00",3
Córdoba,140049200,J.DE INF. REPUBLICA ARGENTINA,Estatal,Urbano,URITORCO  AMEGHINO SUR B° AMEGHINO SUR - ALTURA URITORCO AL 3700,X5010,351,4343324,22/09/1961,4719,"$  94.380,00","$  94.380,00",10
Mendoza,500072701,BLANCA;ROSA QUIROGA (1438),Estatal,Urbano,COMANDANTE SALAS Y BARDAS BLANCA,M5613,,02627-472695,22/09/1988,3765,"$  75.300,00","$  75.300,00",8
Misiones,540092605,Aula Sat. Nº 05: Esc. Nº 657 Yvytu Porá,Estatal,Urbano,Comunidad Yvytu Porá,3364,,03755-340625,30/09/1964,3914,"$  78.280,00","$  78.280,00",3
Entre Ríos,300068800,ESTANILAO SOLER 37,Estatal,Rural,MONTE CASEROS S/N,E3113,,,12/08/1977,2057,"$  41.140,00","$  45.254,00",9
Ciudad de Buenos Aires,20023902,JIN B JARDIN DE LOS PUENTES DE 09 (ESC.PRIM.N°03DE 9),Estatal,Urbano,ZAPATA 449 COLEGIALES,C1426,11,4755-5651,07/03/1988,2450,"$  49.000,00","$  49.000,00",9
Entre Ríos,300032400,JOSE DE ORO 49,Estatal,Rural,CALLE VECINAL S/N  PERDICES,E2820,0,0,21/02/1980,2192,"$  43.840,00","$  48.224,00",5
Buenos Aires,60355200,ESCUELA DE EDUCACIÓN PRIMARIA Nº33 MARTÍN MIGUEL DE GÜEMES,Estatal,Rural,RUTA 68 S/N  SAN FRANCISCO,6075,2355,15-64-8534,22/12/1951,2442,"$  48.840,00","$  53.724,00",7
Santa Fe,820133500,JARDIN DE INFANTES NRO 15 ALFONSO DURAN,Estatal,Urbano,FRAY ANTONIO ROSSI 315 CENTRO,S3003,3405,470547,06/02/1958,2836,"$  56.720,00","$  56.720,00",8
Mendoza,500031400,JUAN NESTOR MILAN OYOLA,Estatal,Rural,RUTA GANADERA N° 77-KM.25   LA GLORIOSA - RUTA GANADERA 77-KM.25,M5590,,02626-4214677D,05/07/1992,4204,"$  84.080,00","$  92.488,00",3
Misiones,540030500,ESC. Nº 190,Estatal,Rural,RUTA PROV. 13- KM.29- COLONIA CHAFARIZ; SAN VICENTE,N3356,3755,15629132/673581,14/05/1995,2019,"$  40.380,00","$  44.418,00",3
Santa Fe,820172600,ESCUELA NRO 326 DOCTOR MARIANO MORENO,Estatal,Rural,SAN JERONIMO 581,S3012,3404,495102,25/02/1956,4085,"$  81.700,00","$  89.870,00",8
San Luis,740008400,ESCUELA TECNICA N° 33 PROFESOR GABINO PUELLES,Estatal,Urbano,VICENTE LOPEZ Y PLANES S/N ESTACION,D5713,,02651-491088,15/09/1961,3410,"$  68.200,00","$  68.200,00",7
Chaco,220012901,E.E.P. Nº  152,Estatal,Urbano,LOTE 123-SECC.I-PJE.SAN ANTONIO-COL. NECOCHEA,H3718,3731,533533,31/01/1983,3469,"$  69.380,00","$  69.380,00",10
Córdoba,140061802,C.E.N.M.A. Nº 70 COMPAÑERO HUGO ESTANISLAO OCHOA ANEXO BARRIO CIUDAD OBISPO ANGELELLI,Estatal,Urbano,CALLE PUBLICA  CIUDAD OBISPO ANGELELLI CAMINO SAN ANTONIO KM 7;5,X5000,351,156691043 COORD,26/12/1980,3785,"$  75.700,00","$  75.700,00",10
Santiago del Estero,860076300,ESCUELA Nº730 SILVERIA DE BARRAZA,Estatal,Rural,GUAYPE   GUAYPE,G4350,,,13/05/1975,3419,"$  68.380,00","$  75.218,00",10
Mendoza,500140000,DR. ARMANDO SERGIO FIGUEROA,Estatal,Rural,LIBERTADOR S/N,5589,2634,496032,16/02/1977,2138,"$  42.760,00","$  47.036,00",9
Buenos Aires,60035800,ESCUELA DE EDUCACIÓN PRIMARIA Nº15 JUAN BAUTISTA ALBERDI,Estatal,Urbano,SADI CARNOT E/SAENZ PEÑA Y ESTRADA 295,7500,2983,42-2963,19/07/1992,4631,"$  92.620,00","$  92.620,00",7
Mendoza,500262601,LA MAGIA DE LOS DUENDES,Social/cooperativa,Rural,SANTA ROSA  275,5594,,,07/04/1984,3795,"$  75.900,00","$  83.490,00",5
Río Negro,620080500,COLEGIO TECNOLOGICO DEL SUR,Privado,Urbano,ROLANDO 654 CENTRO,R8400,2944,435790,14/12/1992,4837,"$  96.740,00","$  96.740,00",8
Tierra del Fuego,940006300,COLEGIO NACIONAL DE USHUAIA,Privado,Urbano,DEL MONTE 1850 CASAS DEL SUR,V9410,2901,445285,28/02/1979,4575,"$  91.500,00","$  91.500,00",10
Tucumán,900040900,ESC. N° 97 ROBERTO MARTIN BERHO,Estatal,Rural,Ruta Provincial nro 327   LA TUNA (RUTA PROV. 327 KM 18),T4149,,,11/06/1957,1810,"$  36.200,00","$  39.820,00",7
Santa Fe,820402900,ESCUELA ESPECIAL DE FORMACION LABORAL NRO 2114,Estatal,Urbano,LA VUELTA DE OBLIGADO 951 PEDRO CASTRO,S3060,3491,472518,11/04/1974,2803,"$  56.060,00","$  56.060,00",6
Tucumán,900177971,C.E.B.A. N° 8,Estatal,Urbano,SARMIENTO S/Nº   EN EDIFICIO DE ESC. MIXTA DE CAPACITACION TECNICA LA MADRID,T4176,3865,15630734,18/02/1959,2531,"$  50.620,00","$  50.620,00",6
Buenos Aires,60357400,JARDÍN DE INFANTES Nº901 MANUEL BELGRANO,Estatal,Urbano,AV.NUEVE DE JULIO (E/ALEM Y RIVADAVIA) 141,6070,2355,42-2226,04/04/1993,3870,"$  77.400,00","$  77.400,00",5
Formosa,340006500,NEP Y FP Nº03 - EPEP Nº 64,Estatal,Urbano,SARMIENTO 860  EPEP Nº64,P3624,3716,432110,08/04/1981,3842,"$  76.840,00","$  76.840,00",4
Mendoza,500027300,DOMINGO FRENCH,Estatal,Urbano,AMEGHINO S/N   URUGUAY Y AMEGHINO TRES ESQUINAS,M5509,261,4-880488,27/06/1969,4910,"$  98.200,00","$  98.200,00",6
Buenos Aires,60305600,ESCUELA CEFERINO NAMUNCURA,Privado,Urbano,21 Y ALVEAR. S/N,1896,221,480-2687,16/02/1976,4994,"$  99.880,00","$  99.880,00",5
Buenos Aires,60391200,JARDÍN DE INFANTES Nº933,Estatal,Urbano,MANZANA 23 ENTRE 13 Y 17 S/N  DON ORIONE,1850,11,4268-5799,16/07/1992,1613,"$  32.260,00","$  32.260,00",3
Ciudad de Buenos Aires,20023700,REPUBLICA DE TURQUIA,Estatal,Urbano,AVDA. RUIZ HUIDOBRO 3853 SAAVEDRA,C1430,11,4541-4693,24/07/1987,4661,"$  93.220,00","$  93.220,00",3
Misiones,540193302,NENI Nº 76 (Ext. ESC. Nº 206),Estatal,Urbano,Picada San Javier - Bañado Chico   Ruta Nº4- Lote 32- Km 78- Bañado Chico,3315,3754,15473734,24/11/1994,4754,"$  95.080,00","$  95.080,00",5
Río Negro,620079300,ESCUELA DEL VALLE,Privado,Urbano,ISIDRO LOBO 1444 CENTRO,R8332,298,4430212,09/07/1982,2448,"$  48.960,00","$  48.960,00",10
Salta,660114800,INSTITUTO TIMOTEO EX N° 121 BIS,Privado,Urbano,AVENIDA PERON ESQUINA FRAGATA LIBERTAD 0 2 DE ABRIL,A4403,387,4290034,25/05/1952,2200,"$  44.000,00","$  44.000,00",8
Buenos Aires,60515500,ESCUELA ESPECIAL Nº507 MADRE TERESA DE CALCUTA,Estatal,Urbano,AVENIDA DE PAULA E/ SAN MARTIN Y MITRE 1176,7311,2281,49-7061,14/12/1972,2114,"$  42.280,00","$  42.280,00",9
Mendoza,500067600,MAESTRO RICARDO PETERSEN,Estatal,Rural,Av. Alvear oeste  EL DESVIO RUTA 143 Y CALLE L -EL DESVIO,M5620,261,0,30/04/1957,4658,"$  93.160,00","$  102.476,00",10
Buenos Aires,60364600,JARDÍN DE INFANTES ANGEL CUSTODIO,Privado,Urbano,360 E/ 310 Y 311 S/N,1886,11,4258-0257,25/08/1969,4687,"$  93.740,00","$  93.740,00",4
Jujuy,380074800,ESCUELA N 455,Estatal,Urbano,CALLE 260  ALTO COMEDERO - ADEP MANZANA 12 - LOTE 2,Y4600,388,4057138,13/07/1993,4963,"$  99.260,00","$  99.260,00",8
Misiones,540079800,B.O.P. Nº 35,Estatal,Rural,VIRGEN DEL CARMEN  VILLALONGA NORTE,N3304,376,154619865/4482985/4223950/4624439,06/11/1978,4032,"$  80.640,00","$  88.704,00",5
La Rioja,460048100,C.E.J.A. ANGEL V.PEÑALOZA,Estatal,Urbano,DOMINGO F.SARMIENTO 69 RIVER,F5470,,,04/05/1989,2147,"$  42.940,00","$  42.940,00",9
Buenos Aires,60481200,CENTRO EDUCATIVO PARA LA PRODUCCIÓN TOTAL Nº6,Estatal,Rural,EX ESTACION FERROCARRIL CASEY,6417,2929,49-3472,29/04/1985,3417,"$  68.340,00","$  75.174,00",7
Misiones,540030900,ESC. Nº 23,Estatal,Urbano,RUTA N°222- KM.30- COLONIA UNIDA,N3356,3755,15654488,22/08/1973,4488,"$  89.760,00","$  89.760,00",6
Santa Cruz,780010600,ESCUELA ESPECIAL Nº 10,Estatal,Urbano,COMODORO PY 315,Z9400,2966,426836,30/03/1970,4928,"$  98.560,00","$  98.560,00",6
Tucumán,900083600,ESC. WENCESLAO POSSE,Estatal,Urbano,CALLE PRINCIPAL S/N  SAN WENCESLAO DELFIN GALLO,T4117,,4891744,13/12/1959,2422,"$  48.440,00","$  48.440,00",7
Córdoba,140059400,CONGRESO DE TUCUMAN,Estatal,Rural,CALLE PUBLICA   COLONIA LA SARA P/CNEL.MOLDES,X5847,358,156544788,13/12/1969,4682,"$  93.640,00","$  103.004,00",4
Misiones,540193800,ESC. Nº 953 (Ex Aula Sat. Nº 01:Esc. Nº 455),Estatal,Urbano,Nuevo A 200m de Ruta Prov. Nº 02,3364,3755,698847,16/03/1963,2804,"$  56.080,00","$  56.080,00",5
San Juan,700090400,ESCUELA DE NIVEL INICIAL ENI N°44,Estatal,Urbano,SALTA NORTE 1750,J5413,,,01/10/1956,4908,"$  98.160,00","$  98.160,00",5
Río Negro,620109600,INSTITUTO TECNICO SUPERIOR,Estatal,Urbano,RIO SALADO 1176,8324,299,4771976,29/03/1991,3631,"$  72.620,00","$  72.620,00",3
Formosa,340012400,EPEP N°461,Estatal,Rural,PARAJE LOS CIENEGUITOS,P3636,,,26/04/1988,3971,"$  79.420,00","$  87.362,00",5
Mendoza,500056100,MARCOS SASTRE,Estatal,Urbano,GARIBALDI 76,5584,263,4461299,14/11/1959,2750,"$  55.000,00","$  55.000,00",7
La Rioja,460069815,C.A.P. N°17,Estatal,Urbano,SAN NICOLAS DE BARI S/N° GUILLERMO PAEZ,F5350,,,01/02/1993,2837,"$  56.740,00","$  56.740,00",4
Córdoba,140082800,GENERAL SAN MARTIN,Estatal,Rural,CALLE PUBLICA S/N   COLONIA NORTE P/RIO SEGUNDO,X5960,3572,15581956 (DIRECT.),17/09/1993,2572,"$  51.440,00","$  56.584,00",10
Buenos Aires,60133400,ESCUELA DE EDUCACIÓN PRIMARIA Nº17 JUAN BAUTISTA ALBERDI,Estatal,Urbano,DR. ROMAN SUBIZA 1295  BARRIO LOS FRESNOS,2900,3461,45-1168,09/04/1955,4620,"$  92.400,00","$  92.400,00",8
Santa Fe,820296200,E.E.S. ORIENTADA NRO 333 HERNANDARIAS,Estatal,Urbano,VELEZ SARSFIELD 578,S3003,3405,470255,09/10/1980,3045,"$  60.900,00","$  60.900,00",8
La Rioja,460036800,ESC.N°171 SAN NICOLAS DE BARI,Estatal,Rural,CARRIZAL,F5385,,,20/06/1989,3884,"$  77.680,00","$  85.448,00",10
San Luis,740046100,ESC. N° 50 EULALIO ASTUDILLO,Estatal,Urbano,EDISON Y 25 DE MAYO,D5711,,02651-470258,10/06/1968,4978,"$  99.560,00","$  99.560,00",6
Córdoba,140073100,J.DE INF. PQUIAL. DEL NIÑO DIOS,Privado,Urbano,ASUNCION 440 LA QUINTA VILLA CARLOS PAZ,X5152,3541,423688,01/05/1966,3724,"$  74.480,00","$  74.480,00",6
Entre Ríos,300035900,CANAL DE BEAGLE 57,Estatal,Rural,CNIA. OFICIAL 17 - LAS MARGARITAS,E3228,0,0,10/02/1985,4753,"$  95.060,00","$  104.566,00",4
Tucumán,900224300,ESC. DE NIVEL INICIAL MANANTIALES SUR,Estatal,Urbano,Calle S/N - Sector II Mza. 17 Bº Manantiales Sur  Manantiales Sur,4105,0,0,20/04/1952,4915,"$  98.300,00","$  98.300,00",6
San Juan,700017200,NOCTURNA PEDRO PASCUAL RAMIREZ,Estatal,Urbano,JORGE NEWBERY SUR 1851 RIVADAVIA B° RIVADAVIA,J5400,264,4340442/4307589,12/05/1957,1527,"$  30.540,00","$  30.540,00",7
Santa Fe,820142800,JARDIN DE INFANTES NRO 133 EL HORNERO,Estatal,Urbano,EL HORNERO S/N CABIN 9,S2121,341,4956100,04/08/1962,4597,"$  91.940,00","$  91.940,00",3
Buenos Aires,60535400,ESCUELA DE EDUCACIÓN PRIMARIA Nº16 BATALLA DE SALTA,Estatal,Rural,CUARTEL X RUTA Nº41 S/N  LA FLORIDA,6720,2324,15-69-4714,08/02/1967,3671,"$  73.420,00","$  80.762,00",8
Río Negro,620051700,ESCUELA PRIMARIA NRO.205 JUANA AZURDUY DE PADILLA,Estatal,Rural,SECCION CHACRAS,R8503,2920,15605640,16/11/1964,4807,"$  96.140,00","$  105.754,00",5
Tucumán,900053300,ESC. DE LA PATRIA DR. MANUEL BELGRANO,Estatal,Urbano,LA RIOJA 650 SUR,T4000,,0381-4247555,12/05/1955,2827,"$  56.540,00","$  56.540,00",9
Buenos Aires,60279900,ESCUELA DE EDUCACIÓN PRIMARIA Nº7 PATRICIO KEARMEY,Estatal,Rural,ACCESO GASTON CALVELO 124,2718,2477,49-6089,06/07/1964,3035,"$  60.700,00","$  66.770,00",6
Buenos Aires,60046700,ESCUELA DE EDUCACIÓN SECUNDARIA Nº23,Estatal,Urbano,ANDRES FERREYRA 1196,1706,11,4659-9371,23/05/1967,4805,"$  96.100,00","$  96.100,00",9
Salta,660160501,ANEXO AULAS TALLERES MOVILES Nº1 INSTALACIONES DOMICILIARIAS,Estatal,Urbano,SAN LUIS 52 CENTRO,A4400,387,4215642,18/08/1975,2138,"$  42.760,00","$  42.760,00",4
Jujuy,380047500,ESCUELA NOCTURNA N 194,Estatal,Urbano,ANTENA TELECOM,Y4634,1,1,09/04/1994,3640,"$  72.800,00","$  72.800,00",6
Tucumán,900080400,ESC. MUNICIPAL MONS. GREGORIO DE JESUS DIAZ,Estatal,Urbano,FLORIDA 250 CENTRO,T4109,381,4268157,07/03/1962,3573,"$  71.460,00","$  71.460,00",5
Ciudad de Buenos Aires,20070601,JIN A DE 15 (ESC. PRIM. N°1 DE 15),Estatal,Urbano,AVDA. TRIUNVIRATO 5101 VILLA URQUIZA,C1431,11,4521-0068,27/11/1949,2233,"$  44.660,00","$  44.660,00",6
Entre Ríos,300015100,RAMON FEBRE 13,Estatal,Rural,RUTA PROVINCIAL 37  ARROYO HONDO,E3190,,,25/08/1989,4146,"$  82.920,00","$  91.212,00",9
Ciudad de Buenos Aires,20040500,ESCUELA INTEGRAL INTERDISCIPLINARIA Nº 02 DE 02,Estatal,Urbano,JOSE ANTONIO CABRERA 4078 PALERMO,C1186,11,4863-8126,07/01/1978,3336,"$  66.720,00","$  66.720,00",7
Santiago del Estero,860027600,ESCUELA Nº37 COMANDANTE MANUEL BESARES,Estatal,Rural,Camino de la Costa   VUELTA DE LA BARRANCA,G4200,,,28/11/1965,2795,"$  55.900,00","$  61.490,00",5
Ciudad de Buenos Aires,20066800,INSTITUTO ROBERTO ARLT,Privado,Urbano,MURGUIONDO 4458 VILLA LUGANO,C1439,11,4601-6305,28/11/1952,2600,"$  52.000,00","$  52.000,00",4
Santiago del Estero,860119800,ESCUELA N° 814 PAULA ALBARRACIN DE SARMIENTO,Estatal,Urbano,AV.JESUS M.FERNANDEZ 329 centro JESUS M FERNANDEZ,G4322,,0385 4911377,18/03/1964,1753,"$  35.060,00","$  35.060,00",4
La Rioja,460037000,ESC.N°318 CHACHO PEÑALOZA,Estatal,Rural,RUTA PCIAL.N°27 Y RUTA PCIAL.N°28,F8385,,,17/01/1952,4384,"$  87.680,00","$  96.448,00",9
Santa Fe,820303710,C.E.P.A. NRO 179,Estatal,Urbano,HOUSSAY 1000 CENTENARIO,S2630,3464,426080,08/04/1957,4334,"$  86.680,00","$  86.680,00",6
San Juan,700067700,ESCUELA TÉCNICA DE CAPACITACIÓN LABORAL N°22,Estatal,Rural,RUTA PROVINCIAL 412 KM 135,J5403,264,4307880,06/04/1969,4177,"$  83.540,00","$  91.894,00",4
San Luis,740059600,INSTITUTO SUPERIOR DE SEGURIDAD PUBLICA CNEL. JUAN P.PRINGLES,Estatal,Rural,AV. ACCESO AL MONUMENTO  LAS CHACRAS (JUANA JOSLAY) AVDA. ACCESO AL MONUMENTO,D5700,,02652-490141,17/09/1957,1612,"$  32.240,00","$  35.464,00",7
Santa Fe,820154901,C.E.R. NRO 525 JUAN BAITISTA ALBERDI,Estatal,Rural,RUTA PROVINCIAL NRO 94    CAMPO UBAJO,S3575,3482,490965,04/10/1975,2816,"$  56.320,00","$  61.952,00",9
Corrientes,180084000,ESCUELA Nº 75 DR. JUAN ESTEBAN MARTINEZ,Estatal,Urbano,CORRIENTES 209,W3440,0,0,24/01/1971,4512,"$  90.240,00","$  90.240,00",9
Mendoza,500102200,ALBERTO GINO MARIO GRECO,Estatal,Rural,LA VENCEDORA - ESTANCIA GRECO - A MINAS DE TALCO,M5561,1,02622-15583143,31/07/1992,2698,"$  53.960,00","$  59.356,00",10
San Juan,700008701,ESCUELA NOCTURNA MINERO SANJUANINO ANEXO CARPINTERÍA,Estatal,Urbano,ANACLETO GIL S/N,J5431,264,4302108,01/01/1967,3630,"$  72.600,00","$  72.600,00",7
Chubut,260031600,CIUDAD DE ROSARIO,Estatal,Rural,Víctoria Gutierrez,U9033,2945,497002,04/12/1989,1823,"$  36.460,00","$  40.106,00",7
San Luis,740010400,ESC. N°172 MISIONES,Estatal,Urbano,AV. LAFINUR 595,D5700,266,4420960,25/09/1969,2580,"$  51.600,00","$  51.600,00",5
Santiago del Estero,860204500,ESCUELA ESPECIAL WEISBURG,Estatal,Rural,San Martin  Centro,G4200,,,15/12/1989,2948,"$  58.960,00","$  64.856,00",10
Río Negro,620079800,CENTRO DE EDUCACION MEDIA NRO.104,Estatal,Urbano,BESCHTEDT 850 SARA MARIA FURMAN CEM 105 CEM 132,R8400,,02944 422328,17/01/1989,4556,"$  91.120,00","$  91.120,00",6
La Pampa,420060700,Colegio Secundario Edgar Morisoli,Estatal,Urbano,Bertera 1940 Plan 5000,L6300,2954,563143,02/06/1979,4428,"$  88.560,00","$  88.560,00",6
Tucumán,900207900,ESC. DE NIVEL INICIAL Nº 248 JUAN L. NOUGUES,Estatal,Urbano,LARREA 3006,T4000,381,4368745,06/12/1979,4234,"$  84.680,00","$  84.680,00",8
Misiones,540023300,ESC. Nº 563: JACOBO LENUZZA,Estatal,Urbano,CAMINO VECINAL Nº15   CAMINO VECINAL N°15 o RUTA PROV.Nº230-PJE. CERRO MONJE,N3357,3754,15660095,18/09/1963,4696,"$  93.920,00","$  93.920,00",7
Río Negro,620037300,ESCUELA PRIMARIA NRO.169 18 DE DICIEMBRE,Estatal,Urbano,PALACIOS 298 NORTE,R8332,298,4422471,15/11/1962,3749,"$  74.980,00","$  74.980,00",7
Tucumán,900098300,ESC. N° 302 PEDRO ALURRALDE,Estatal,Rural,RAMOS,T4242,0,"3,81E+11",15/11/1955,4925,"$  98.500,00","$  108.350,00",9
Misiones,540125400,ESC. Nº 829,Estatal,Urbano,MIRANDA   PASO DEL SALTO MIRANDA Y CAPIOVI - KM 8,N3380,3751,15558515,04/11/1980,4316,"$  86.320,00","$  86.320,00",10
Salta,660088400,VIRGEN DE LA MONTAÑA EX N° 606,Estatal,Rural,RUTA PROVINCIAL Nº13 KM 1  ESTACION LOS BAÑOS,A4193,3876,15413061,15/11/1963,3483,"$  69.660,00","$  76.626,00",5
Santa Fe,820298800,ESCUELA NRO 497 CAYETANO ALBERTO SILVA,Estatal,Urbano,PELLEGRINI 71 CENTRO,S2600,3462,421330,12/01/1955,4995,"$  99.900,00","$  99.900,00",5
Santa Fe,820459900,PLANTA CAMPAMENTIL NRO 7507,Estatal,Urbano,PARAJE LA MARAVITA,S2309,3493,15448361,01/05/1978,4487,"$  89.740,00","$  89.740,00",8
Buenos Aires,60266600,INSTITUTO BARRIO MARINA,Privado,Urbano,DOMIN. PALMERO E/I. DE PARDO Y PIOVANO 3878,1712,11,4692-0028,28/03/1989,3034,"$  60.680,00","$  60.680,00",3
Buenos Aires,60520400,ESCUELA DE EDUCACIÓN PRIMARIA Nº10 JOSÉ INGENIEROS,Estatal,Urbano,J.B.JUSTO Y GRANADEROS A.CABALLO S/N,1665,2320,44-5938,18/10/1977,1719,"$  34.380,00","$  34.380,00",9
Ciudad de Buenos Aires,20077400,REPUBLICA DEL PERU,Estatal,Urbano,AVDA. GAONA 4763 FLORESTA,C1407,11,4671-1135/4672-3823,15/03/1951,2390,"$  47.800,00","$  47.800,00",6
Santa Fe,820061901,GRADO RADIAL N I - I.S.P.I.NRO 9246 ALEXANDER FLEMING,Privado,Urbano,SUIPACHA 888  GRADO RADIAL NRO I- I.S.P.I.NRO 9246 ALEXANDER FLEMING,S2000,341,4306030,26/12/1989,4100,"$  82.000,00","$  82.000,00",6
Chaco,220039000,JARDIN DE INFANTES Nº 25 CLOTILDE GUILLEN DE REZZANO,Estatal,Urbano,CALLE 329 ENTRE 312 Y 314  OBRERO Bº OBRERO,H3700,3644,406811,10/08/1950,4280,"$  85.600,00","$  85.600,00",8
Santa Fe,820414300,ESCUELA NRO 1378,Estatal,Urbano,CORTADA S/N SAN CAYETANO,S3050,3483,477048,26/04/1957,3859,"$  77.180,00","$  77.180,00",8
Ciudad de Buenos Aires,20019000,COLEGIO SAN FRANCISCO JAVIER,Privado,Urbano,JOSE ANTONIO CABRERA 5901 PALERMO,C1414,11,4777-5011/12/13,20/09/1989,1736,"$  34.720,00","$  34.720,00",5
Formosa,340098204,JIN N° 39 - EPEP Nº 459 ANEXO 1,Estatal,Rural,PARAJE ALTO ALEGRE,P3620,,,16/03/1969,3162,"$  63.240,00","$  69.564,00",7
Misiones,540174300,ESC. ESPECIAL Nº 55 VIRGEN DE FÁTIMA,Estatal,Urbano,BARRIO FATIMA A-3-1 MZ95  BARRIO FATIMA A-3-1 MZ95 HOSPITAL DE FÁTIMA,3304,376,154883512,19/05/1959,2536,"$  50.720,00","$  50.720,00",4
Misiones,540197907,NENI Nº 85 (Ext. ESC. Nº 641),Estatal,Rural,Ruta Prov. Nº 219   Paraje Torta Quemada,3379,3755,412574,12/08/1981,4854,"$  97.080,00","$  106.788,00",3
Santa Fe,820147400,ESCUELA NRO 6150 JUAN BAUTISTA CABRAL,Estatal,Rural,SAN MARTIN 508,S2106,3460,491016,03/12/1956,1625,"$  32.500,00","$  35.750,00",8
Buenos Aires,60456900,INSTITUTO JUAN PABLO II,Privado,Urbano,MONTEVIDEO Y THOMPSON 1531,1768,11,4655-1800,02/08/1967,4479,"$  89.580,00","$  89.580,00",10
Salta,660151400,COLEGIO SECUNDARIO PLURICURSO CON ITINERANCIA,Estatal,Rural,MISION LA PAZ-ESTAF.STA VICTORIA ESTE,A4561,,,23/07/1987,2419,"$  48.380,00","$  53.218,00",10
